tile,id,centroid,area_m2,min_veg_distance_m,risk_score,zone_1a_veg_density,zone_1b_veg_density,zone_2_veg_density,overlay_image
688f8a1f_07680_14336,0,"(250, 276)",856.2,999.0,0.0,0.0,0.0,0.0,overlay/688f8a1f_07680_14336.png
688f8a1f_07680_14848,0,"(207, 235)",704.5,8.22,0.06,0.0,0.019,0.0,overlay/688f8a1f_07680_14848.png
688f8a1f_07680_15360,0,"(426, 258)",48.9,0.0,1.3,0.075,0.223,0.205,overlay/688f8a1f_07680_15360.png
688f8a1f_07680_15360,1,"(33, 79)",36.8,8.1,0.59,0.0,0.093,0.244,overlay/688f8a1f_07680_15360.png
688f8a1f_07680_15872,0,"(76, 455)",51.8,0.8,0.88,0.019,0.252,0.023,overlay/688f8a1f_07680_15872.png
688f8a1f_07680_15872,1,"(54, 187)",57.2,0.36,0.82,0.102,0.07,0.078,overlay/688f8a1f_07680_15872.png
688f8a1f_07680_16384,0,"(329, 225)",620.9,0.42,2.27,0.162,0.373,0.271,overlay/688f8a1f_07680_16384.png
688f8a1f_07680_16896,0,"(33, 400)",58.5,5.96,0.29,0.0,0.075,0.055,overlay/688f8a1f_07680_16896.png
688f8a1f_07680_16896,1,"(284, 127)",443.5,5.47,0.49,0.0,0.088,0.18,overlay/688f8a1f_07680_16896.png
688f8a1f_08192_02048,0,"(433, 369)",91.1,0.0,2.6,0.304,0.286,0.173,overlay/688f8a1f_08192_02048.png
688f8a1f_08192_02560,0,"(62, 410)",90.7,0.0,5.91,0.348,0.975,1.0,overlay/688f8a1f_08192_02560.png
688f8a1f_08192_04096,0,"(82, 299)",25.3,0.38,3.43,0.144,0.731,0.414,overlay/688f8a1f_08192_04096.png
688f8a1f_08192_04608,0,"(458, 187)",96.6,15.15,0.12,0.0,0.0,0.099,overlay/688f8a1f_08192_04608.png
688f8a1f_08192_04608,1,"(175, 97)",219.9,10.21,0.19,0.0,0.0,0.153,overlay/688f8a1f_08192_04608.png
688f8a1f_08192_05120,0,"(478, 353)",50.2,23.11,0.01,0.0,0.0,0.011,overlay/688f8a1f_08192_05120.png
688f8a1f_08192_05120,1,"(250, 294)",163.2,6.68,0.03,0.0,0.011,0.0,overlay/688f8a1f_08192_05120.png
